Category;Genre;Season;Date;Fighter 1;Fighter 2;Winner;Result Method;Odds 1;Odds 2
Bantamweight;Ufc Women;2016;10/02/2016;Faszholz K.;Vieira K.;Vieira K.;Vieira K. Win;-118;-109
Bantamweight;Ufc Women;2016;09/03/2016;Evans-Smith A.;Hardy V.;Evans-Smith A.;Evans-Smith A. - 3Rd Round Tko;-270;202
Strawweight;Ufc Women;2016;06/05/2016;Penne J.;Andrade J.;Andrade J.;Andrade J. - 2Nd Round Tko;-111;-112
Strawweight;Ufc Women;2016;11/06/2016;Grasso A.;Clark H.;Grasso A.;Grasso A. Win;-556;386
Strawweight;Ufc Women;2016;08/07/2016;Moroz M.;Taylor D.;Moroz M.;Moroz M. Win;-278;208
Bantamweight;Ufc Women;2016;05/08/2016;De Randamie G.;Elmose A.;De Randamie G.;De Randamie G. - 1St Round Ko;-417;294
Strawweight;Ufc Women;2016;05/08/2016;Kowalkiewicz K.;Clark H.;Kowalkiewicz K.;Kowalkiewicz K. Win;-286;215
Strawweight;Ufc Women;2016;07/09/2016;Jedrzejczyk J.;Gadelha C.;Jedrzejczyk J.;Jedrzejczyk J. Win;-128;102
Strawweight;Ufc Women;2016;12/09/2016;Kish J.;Yoder A.;Kish J.;Kish J. Win;-250;189
Strawweight;Ufc Women;2016;12/09/2016;Lima J.;Aldrich Jj;Lima J.;Lima J. Win;-256;195
Strawweight;Ufc Women;2016;04/10/2016;Moroz M.;Stanciu C.;Moroz M.;Moroz M. Win;-196;152
Bantamweight;Ufc Women;2016;07/10/2016;Tate M.;Nunes A.;Nunes A.;Nunes A. - 1St Round Tko;-263;204
Bantamweight;Ufc Women;2016;07/10/2016;Zingano C.;Pena J.;Pena J.;Pena J. Win;-172;139
Bantamweight;Ufc Women;2016;09/11/2016;Eye J.;Correia B.;Correia B.;Correia B. Win;-137;108
Strawweight;Ufc Women;2016;09/11/2016;Andrade J.;Wood J.;Andrade J.;Andrade J. - 1St Round Tko;-137;106
Strawweight;Ufc Women;2016;12/11/2016;Letourneau V.;Pereira V.;Pereira V.;Pereira V. Win;-143;112
Bantamweight;Ufc Women;2017;09/02/2017;Reneau M.;Bernardo T.;Reneau M.;Reneau M. - 3Rd Round Tko;-345;240
Catchweight;Ufc Women;2017;12/02/2017;Gevorgyan K.;Ostovich R.;Ostovich R.;Ostovich R. - 1St Round Tko;338;-476
Flyweight;Ufc Women;2017;12/02/2017;Beck A.;Dobson S.;Dobson S.;Dobson S. - 2Nd Round Tko;160;-200
Flyweight;Ufc Women;2017;12/02/2017;Murphy L.;Honchak B.;Murphy L.;Murphy L. Win;-208;154
Flyweight;Ufc Women;2017;12/02/2017;Robertson G.;Whitmire E.;Robertson G.;Robertson G. - 1St Round Tko;162;-200
Strawweight;Ufc Women;2017;12/03/2017;Pennington T.;Waterson-Gomez M.;Pennington T.;Pennington T. Win;-256;192
Strawweight;Ufc Women;2017;12/03/2017;Cooper A. B.;Magana A.;Cooper A. B.;Cooper A. B. - 2Nd Round Tko;-556;361
Strawweight;Ufc Women;2017;12/03/2017;Herrig F.;Casey C.;Herrig F.;Herrig F. Win;-133;106
Strawweight;Ufc Women;2017;06/04/2017;Gadelha C.;Kowalkiewicz K.;Gadelha C.;Gadelha C. - 1St Round Tko;-312;238
Strawweight;Ufc Women;2017;06/04/2017;Pereira V.;Moyle J.;Pereira V.;Pereira V. Win;-167;135
Catchweight;Ufc Women;2017;02/05/2017;Pennington T.;Rawlings B.;Pennington T.;Pennington T. Win;-400;283
Strawweight;Ufc Women;2017;02/05/2017;Andrade J.;Hill A.;Andrade J.;Andrade J. Win;-625;404
Strawweight;Ufc Women;2017;02/05/2017;Grasso A.;Herrig F.;Herrig F.;Herrig F. Win;-345;249
Strawweight;Ufc Women;2017;03/05/2017;Cooper A. B.;Calvillo C.;Calvillo C.;Calvillo C. - 1St Round Tko;106;-132
Strawweight;Ufc Women;2017;08/05/2017;Akhmetov K.;Moraes A.;Moraes A.;Moraes A. Win;100;-135
Strawweight;Ufc Women;2017;11/05/2017;Jedrzejczyk J.;Namajunas R.;Namajunas R.;Jedrzejczyk Joanna Defending Title.;-714;463
Strawweight;Ufc Women;2017;08/06/2017;Markos R.;Grasso A.;Grasso A.;Grasso A. Win;139;-175
Strawweight;Ufc Women;2017;07/08/2017;Hill A.;Yoder A.;Hill A.;Hill A. Win;-357;267
Strawweight;Ufc Women;2017;07/08/2017;Pennington T.;Lima J.;Pennington T.;Pennington T. - 2Nd Round Tko;-476;336
Bantamweight;Ufc Women;2017;10/08/2017;Borella M. R.;Faria K.;Borella M. R.;Borella M. R. - 1St Round Tko;173;-222
Strawweight;Ufc Women;2017;10/08/2017;Gonzalez P.;Botelho P.;Botelho P.;Botelho P. Win;125;-159
Bantamweight;Ufc Women;2017;04/09/2017;Cerminara K.;Aldana I.;Cerminara K.;Cerminara K. Win;-154;125
Strawweight;Ufc Women;2017;04/09/2017;Calvillo C.;Gonzalez P.;Calvillo C.;Calvillo C. - 3Rd Round Tko;-270;210
Strawweight;Ufc Women;2017;12/09/2017;Lee C.;Boku K.;Lee C.;Lee C. - 1St Round Tko;-149;110
Bantamweight;Ufc Women;2017;09/10/2017;Nunes A.;Shevchenko V.;Nunes A.;Nunes A. Win;104;-135
Bantamweight;Ufc Women;2017;09/10/2017;Mcmann S.;Vieira K.;Vieira K.;Vieira K. - 2Nd Round Tko;-250;175
Bantamweight;Ufc Women;2017;09/10/2017;Moras S.;Evans-Smith A.;Moras S.;Moras S. - 1St Round Tko;210;-278
Flyweight;Ufc Women;2017;12/10/2017;Davis A.;Carmouche L.;Davis A.;Davis A. Win;116;-147
Catchweight;Ufc Women;2017;06/11/2017;Aldrich Jj;Jeon C. M.;Aldrich Jj;Aldrich Jj Win;-182;143
Bantamweight;Ufc Women;2017;03/12/2017;Correia B.;Reneau M.;Reneau M.;Reneau M. Win;-112;-110
Strawweight;Ufc Women;2017;11/12/2017;Hill A.;Nunes N.;Nunes N.;Nunes N. Win;-196;152
Strawweight;Ufc Women;2017;11/12/2017;Suarez T.;Pereira V.;Suarez T.;Suarez T. Win;-312;225
Catchweight;Ufc Women;2018;12/01/2018;Kim J. Y.;Shevchenko A.;Shevchenko A.;Shevchenko A. Win;224;-323
Flyweight;Ufc Women;2018;06/02/2018;Eubanks S.;Murphy L.;Eubanks S.;Eubanks S. Win;-200;156
